,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,6.1648788,4.2315987999999995,2.3600787999999997,2.2000787999999996,2.2571534669999997,2.0700788,2.0833481,1.6020478999999999,1.9212662,3.0920522999999998,3.2892752,4.1098226,4.6389639,5.0003247,5.1847559,4.9548510000000014,3.8406219,4.0254329,3.958792,4.1126961,4.3674919,4.6883075,4.2212054000000006,4.4291341,4.8578333
Andorra,0.3872484000000001,0.3872484000000001,0.3872484000000001,0.3909124000000001,0.3872484000000001,0.4055684,0.4348804,0.4458724,0.4715204000000001,0.4935044,0.5044964,0.4950317,0.5023597,0.5060237,0.5316717,0.5463276999999999,0.506996,0.4996680000000001,0.4996680000000001,0.477684,0.477684,0.4692255,0.46556149999999996,0.45456949999999996,0.4399135
Austria,46.8618902,51.09051420000001,46.2378422,46.403874200000004,46.76891420000001,49.64793820000001,53.3826066,52.5715941,53.19160030000001,51.533278700000004,51.8949528,61.04248829999999,62.4110949,67.7032883,69.0382183,69.7298629,70.1397563,67.91615329999999,68.1169558,61.83716429999999,66.6329849,64.093974,61.2285669,61.5219269,58.0792549
Belarus,91.57746689,87.84494641,77.90162959999998,66.2201096,54.6749256,47.480349600000004,48.4439395,48.9825601,47.1819335,45.1221681,42.965500299999995,33.4987587,36.746933899999995,34.405765,37.5218471,38.31459210000001,32.49146,30.9207684,33.8587237,31.4512571,35.5673641,58.5893765,59.5864997,60.058135300000004,59.76900129999999
Belgium,105.9502187,110.7484587,109.4118027,107.1709707,112.3903467,111.9750827,116.97572050000001,113.94079070000001,115.96683870000001,112.43607069999999,114.32605600000001,114.99504280000001,107.7471068,112.36459479999999,111.1752263,107.8348828,105.59766680000001,101.8964988,104.4912028,96.9021308,105.7734268,94.46709969999999,92.4803602,93.8197522,87.7724242
Bulgaria,65.7072632,46.5821112,43.9611992,44.2989112,41.831279200000004,42.5618872,43.0263133,40.9015248,38.6747395,32.8495458,32.089977000000005,32.453087,29.8186402,34.062481700000006,33.572815999999996,34.5738786,39.8254674,43.316857,40.9500645,33.7999114,35.46679779999999,40.2362692,35.34377420000001,30.3430195,33.1344243
Croatia,10.10719626,4.327998387,3.4049204,4.0446164,3.3978163999999995,4.0156084000000005,3.9544368999999997,5.7072712,7.1498338000000015,7.117374400000001,6.598096099999999,7.7424907,8.9084427,10.378988,9.8746187,10.0197387,12.177059199999999,13.4327301,12.2721536,10.9299413,9.8937653,15.3385195,13.6413677,13.218821300000002,12.4661643
Czech Republic,141.0276754,127.12179760000001,122.21016940000001,119.03615829999998,112.6973774,113.1443997,114.69482430000001,112.71037450000001,106.7099807,99.6656062,110.8574072,110.6832895,106.54854350000001,110.84781370000002,111.5327695,108.1658068,114.2777125,116.89436840000002,111.50220149999998,104.1430311,106.3490511,99.8838424,94.8846655,90.2747455,85.8932017
Denmark,52.62270817,63.23740683,57.4414255,59.81094017,63.80788417,60.6001215,73.93053247,64.31548889999999,60.20917567,57.15636110000001,52.8483544,55.11848867,55.20410733,60.622174,55.11582127,51.58336867,59.18934707,54.3390567,51.12010223,48.820072700000004,49.18378737,42.600654,37.39699,39.25635267,35.11363
Estonia,35.93959998,32.26577489,23.507479999999997,17.916184,17.328552,15.66588,16.617507699999994,16.208571300000006,15.5772889,14.575348499999999,14.168054099999999,21.9898985,21.67315450000001,23.6326857,23.746972699999997,24.0011145,17.1961398,21.0035299,19.403557100000004,16.114927800000004,20.031590899999998,22.3172158,21.0655358,23.4732858,22.13371960000001
Finland,30.092919800000004,30.650711800000003,27.7954478,28.938887800000003,35.4235438,31.591863800000002,38.127850099999996,36.0394525,32.78458,32.1008165,30.69805,45.3254602,47.622047200000004,56.063452100000006,51.8396792,39.6492221,47.09459879999999,45.0798499,36.614889899999994,33.925433899999994,42.3560419,60.90297270000001,55.1196792,55.7321629,51.58769520000001
France,334.8200106,359.56497060000015,345.91124260000015,327.1831626,322.36719460000006,329.51844260000007,345.29926919999997,336.94042989999997,358.2617202,352.73063080000014,350.7498657,299.8642754,293.9801876,299.8707974,301.294903,302.92960310000007,318.99156370000014,310.7993671,306.3774026,289.20815,295.74444480000005,241.21096540000002,241.7387545,247.28411090000003,215.30840069999996
Germany,908.5104928999999,885.4054208999999,846.6227516000001,840.3183649,828.0330716,823.6547782,853.1769901,823.0646114,815.3499477999999,784.9913008,782.002429,831.7905917,817.6225319,821.2115038,804.4878216,786.0990432,804.2528952,771.6877638999997,779.7179262999997,723.2595874,761.1642519,712.4050946000001,725.1613765,743.5713693,703.3734172999997
Greece,75.99284200000002,75.35171911,76.99588277,77.86398266,79.48227223,83.06188109,83.06811697,84.1764009,87.6145458,87.318152,95.0011082,96.78389969999999,96.7620349,100.49585,100.33811490000001,102.0769026,101.2626933,105.63380009999999,100.1108165,94.5280968,87.339084,84.2518963,78.84643929999999,71.1887485,67.7467571
Hungary,71.226653,68.31049300000001,61.863932999999996,62.22049300000001,61.603389,61.282701,62.306199899999996,60.8140402,61.2236869,61.7690131,58.54329050000001,61.98256603,61.21987215,63.88091559,62.16353356,61.71071626,59.08808463,57.37561052,56.61480907,51.34922519,51.697677899999995,50.832446399999995,47.3983444,45.8270562,45.57492415
Iceland,1.9385445,1.9012165,1.9312165000000001,1.9638885,2.0702244999999997,1.9802244999999998,2.2543879000000002,2.1411592999999995,2.1384873,2.0958153000000004,2.2131432999999996,2.1109547,2.1889707,2.1826347000000004,2.2699627,2.2446187,2.2928981,2.3162827,2.1162827,2.0762827,1.9462827,1.7562827,1.6766667000000002,1.8466667,1.8566667000000001
Ireland,28.605537800000004,29.2008818,29.310881800000004,29.393937800000003,30.5318738,31.173169800000004,32.6334401,33.7185684,36.2770698,38.0079018,39.8148458,42.8526129,41.9103249,42.05394370000001,43.0457169,44.957466600000004,40.3940582,39.5729404,38.9822342,33.575850200000005,33.3673044,36.028762,35.8479596,34.980723499999996,34.4173356
Italy,374.938406,374.311446,372.038918,365.284998,360.397382,383.495686,380.3613809,383.67916660000003,395.12329750000004,401.90332830000006,405.4196697,404.8728315,412.8315004,431.8659846,442.457072,441.3652364,438.5994072,430.7476841,415.89414320000003,367.42571910000004,374.7468205,366.2250712,345.3692312,314.66470319999996,296.0846552
Latvia,9.479965398,7.888490878,4.2882748,2.1506428,0.5213308,-0.7369892,-0.6690196999999999,-1.199116,-1.5274133,-2.3298847,-2.8966754,6.157886799999999,6.3089336,6.5179395,6.5363352999999975,6.6275571,-4.4972486,-4.1685558,-4.582402,-5.319027200000002,-4.2729943,-3.1305808999999996,-3.4047521,-3.4371425,-3.5257072
Liechtenstein,,,,,,,,,,,,,,,,,,0.062287999999999996,0.062287999999999996,0.051296,0.05496,0.047632,0.047632,0.051296,0.043968
Lithuania,35.25566638,37.25876729,22.1310008,18.031848800000002,16.9599448,15.915976800000001,16.4201199,16.0683089,16.843625699999997,14.4049864,12.6677258,13.7006111,13.7983277,13.791660199999999,14.4960768,15.256667199999999,13.5212336,13.6617185,13.580137099999998,12.1563695,13.186133400000001,12.280385,12.301839300000001,11.7240221,11.1961548
Luxembourg,10.88768602,11.40699802,11.04303002,11.40165402,10.50799002,8.40799002,8.466013778999999,7.973333127,7.300661127000001,7.652645127,7.700371799999999,9.0563798,9.7263798,10.199051800000001,11.6293558,11.861035800000002,11.7443158,11.2322518,11.1659158,10.5719478,11.192251800000001,11.1694998,10.909883800000001,10.2609558,9.8032438
Malta,2.31,2.21,2.17,2.81,2.51,2.38,2.32,2.47,2.37,2.41,2.13,2.49,2.32,2.61,2.6,2.72,2.59,2.75,2.58,2.47,2.57,2.57,2.7,2.37,2.34
Moldova,29.49025666,23.54672682,18.9535198,15.8167358,12.5937598,10.681087800000002,8.993759800000003,8.137727799999999,7.2320797999999975,5.931087799999999,5.4153598,6.0710345000000006,6.2423305000000004,6.780346499999999,6.8419465,7.1508745,7.067135799999999,6.9088157999999975,6.8431678,6.7575198000000025,7.4364478000000025,7.210410499999999,7.139338499999999,6.1836905,6.8106345
Montenegro,,,,,,,,,,,,,,,,0.7070982990000001,-14.603758,-14.7247081,-14.152826800000001,-15.1434364,-14.342583,2.6146540000000003,2.4098995999999997,2.3321408,2.2818970000000003
Netherlands,149.2422646,156.4406646,155.20445930000002,160.3292459,160.4868779,167.8115846,177.42809590000005,169.9678065,170.3231504,165.102377,165.79772340000005,171.2370201,171.1816334,173.87286540000005,175.52189019999997,171.0801428,165.08695519999995,165.8941081,166.9366708,161.6835295,172.0209375,160.4636145,158.2806335,157.9313215,150.6060281
Norway,14.93332903,12.98542237,16.16287303,17.5996437,19.29198237,18.7756677,19.762597,21.48714923,23.21316927,25.13006663,19.8582544,13.51877777,13.18982043,15.8118551,16.218271100000006,15.17161933,14.72435643,15.28612973,14.44587933,14.46156173,16.63827373,16.13498847,15.55526313,14.54239647,14.75290837
Poland,337.3449931,338.5631691000001,330.1282091,331.3294251000001,326.3681771,326.6284811000001,342.4195075,331.7250103,305.8949911,296.91211160000006,283.4477937,270.2853615,263.9028832,274.6663909,278.7418153,278.4150993,208.4532816,207.8644879,203.1359973,191.8823352,208.1569275,287.380581,279.45331400000003,274.26084860000003,261.60620589999996
Portugal,43.0524596,44.75772360000001,48.9819956,47.931003600000004,49.5205396,52.8138196,51.0972881,53.583676000000004,58.329947499999996,64.97017650000001,64.5331891,68.515774,72.2572565,67.0077603,68.2310566,71.3255152,60.5858764,60.9095675,56.11608680000001,55.700564,49.837243900000004,51.3188338,49.4555224,47.97803,47.30348920000001
Romania,174.5941045,144.5491125,128.5902645,119.52560849999999,117.2517845,122.59605649999999,125.880946,115.53549850000002,101.609021,87.4573227,90.7418067,94.38297759999999,93.91387370000001,100.2889949,96.9509745,96.2504435,95.6391213,94.28620040000001,92.90143959999999,77.27272049999998,74.1413767,-78.4536615,-80.0980839,-90.97966890000001,-91.7144804
Russia,2419.552357,2393.008706,2222.697586,2037.9207059999999,1828.222978,1779.654898,1760.0545550000006,1610.279692,1652.502831,1653.012397,1692.201548,1529.003494,1532.891315,1637.965281,1539.634536,1555.131185,1442.644849,1438.0999,1598.677175,1380.182457,1442.24882,1517.668359,1520.6215,1448.1253,1382.761549
Slovakia,46.7244779,39.51042145,46.045759999999994,34.6526598,32.0415878,32.7741798,32.582476799999995,32.727339799999996,32.031455,31.2887723,28.503873699999996,29.72767897,29.2738157,29.78435371,28.59610893,29.798978,31.86135993,31.16321483,31.10047202,27.71044988,29.60809796,29.38126656,27.63371266,28.26700781,25.90331685
Slovenia,7.3939693160000015,6.565238917,6.017989900000001,6.8003579,6.845621899999999,7.7332539,8.5415739,9.011877900000002,8.7901979,8.2268379,7.8771419000000025,5.144165900000001,5.324853900000001,5.3001179,5.4785179,5.6555419,8.5858192,8.5504752,9.700395199999999,7.8005552,7.9913232,9.4930565,9.1016005,8.543200500000001,7.174800500000001
Spain,169.9739298,176.25634580000005,187.5371938,172.8155653,182.7035985,194.6092366,183.7527271,202.86750619999998,212.1951921,234.913035,250.8662636,253.1456131,271.524007,278.0780648,295.1727504,311.9970713,318.76423660000006,331.88271119999996,297.4941553000001,257.5466088,241.9108994,242.7257267,235.21239100000003,208.7794127,206.0864274
Sweden,33.396579100000004,34.3762751,36.8813151,36.5790271,38.5353631,38.2858911,43.712317999999996,37.4720114,38.4565695,37.348077,33.3814081,1.352886,2.929222,4.0986139999999995,2.4635740000000004,-0.677802,43.94630170000001,42.256443299999994,40.23495670000001,37.3186033,42.7511953,39.19343,36.15007,34.678917999999996,34.5694388
Switzerland,41.4388204,43.852340399999996,43.8125004,41.6342604,40.7574604,41.5552524,42.1247238,41.0180817,42.5164051,42.7807551,41.900667799999994,43.785270399999995,42.157334399999996,43.416860299999996,43.8276384,44.3519104,42.1059051,40.1375851,41.6588811,40.3881931,41.97139310000001,39.826710399999996,41.228390399999995,42.2620544,38.323814399999996
Ukraine,654.5580282000002,617.0146892000001,529.421889,453.86907300000007,369.86371299999996,353.14308900000015,299.8471702,281.7162552,262.6530216,259.3929026,250.76371699999999,278.063311,282.9027409,313.774485,288.97132799999997,276.7031912,287.6705234,295.5695565,281.7249351000001,233.78994280000003,249.72314550000002,279.4646628,273.2570369,264.3958765,237.2458489
United Kingdom,542.8610685,558.1853537999998,540.7217405,528.2029298,522.8691752000002,511.5998658,532.0330993,509.61456889999994,512.8342679,510.56006349999996,518.5295348999998,532.5676894,516.2531,528.6498961,529.0812387,527.5556128000002,529.6104914,517.2653836000002,502.8701881,452.9500761,470.62505719999996,431.7605654,455.779732,443.6583488,402.05640669999997
